alpha,Scientific_name,english_name
LAU,Petromyzon marinus,Sea lamprey
LAR,Lampetra fluviatilis,River lamprey
LAO,Entosphenus tridentatus,Pacific lamprey
LAY,Ichthyomyzon unicuspis,Silver lamprey
LAF,Eudontomyzon mariae,Ukrainian brook lamprey
LAE,Geotria australis,Pouched lamprey
LAK,Mordacia mordax,Australian lamprey
LAW,Caspiomyzon wagneri,Caspian lamprey
LAS,Petromyzontidae,Lampreys nei
MYP,Paramyxine atami,Brown hagfish
MYG,Myxine glutinosa,Hagfish
MYE,Nemamyxine elongata,
MYB,Eptatretus burgeri,Inshore hagfish
MYU,Eptatretus stoutii,Pacific hagfish
MYX,Myxinidae,Hagfishes nei
HEF,Heterodontus francisci,Horn shark
HEG,Heterodontus galeatus,Crested bullhead shark
HEJ,Heterodontus japonicus,Japanese bullhead shark
HEM,Heterodontus mexicanus,Mexican hornshark
HEK,Heterodontus portusjacksoni,Port Jackson shark
HEQ,Heterodontus quoyi,Galapagos bullhead shark
HEA,Heterodontus ramalheira,Whitespotted bullhead shark
HEZ,Heterodontus zebra,Zebra bullhead shark
HDQ,Heterodontiformes,Bullhead sharks
HXC,Chlamydoselachus anguineus,Frilled shark
SBL,Hexanchus griseus,Bluntnose sixgill shark
HXN,Hexanchus nakamurai,Bigeyed sixgill shark
HXT,Heptranchias perlo,Sharpnose sevengill shark
NTC,Notorynchus cepedianus,Broadnose sevengill shark
HXW,Hexanchiformes,Frilled and cow sharks
BSK,Cetorhinus maximus,Basking shark
CCT,Carcharias taurus,Sand tiger shark
LOU,Carcharias tricuspidatus,Indian sand tiger
LOO,Odontaspis ferox,Smalltooth sand tiger
ODH,Odontaspis noronhai,Bigeye sand tiger shark
LMO,Mitsukurina owstoni,Goblin shark
PSK,Pseudocarcharias kamoharai,Crocodile shark
LMP,Megachasma pelagios,Megamouth shark
ALV,Alopias vulpinus,Thresher
PTH,Alopias pelagicus,Pelagic thresher
BTH,Alopias superciliosus,Bigeye thresher
THR,Alopias spp,Thresher sharks nei
SMA,Isurus oxyrinchus,Shortfin mako
LMA,Isurus paucus,Longfin mako
MAK,Isurus spp,Mako sharks
POR,Lamna nasus,Porbeagle
LMD,Lamna ditropis,Salmon shark
WSH,Carcharodon carcharias,Great white shark
MSK,Lamnidae,"Mackerel sharks,porbeagles nei"
LMZ,Lamniformes,Mackerel sharks
OSF,Stegostoma fasciatum,Zebra shark
ORE,Eucrossorhinus dasypogon,Tasselled wobbegong
ORJ,Orectolobus japonicus,Japanese wobbegong
ORT,Orectolobus maculatus,Spotted wobbegong
ORO,Orectolobus ornatus,Ornate wobbegong
ORV,Orectolobus wardi,Northern wobbegong
ORS,Sutorectus tentaculatus,Cobbler wobbegong
GNC,Ginglymostoma cirratum,Nurse shark
ORX,Ginglymostoma brevicaudatum,Short-tail nurse shark
GNG,Ginglymostoma spp,Nurse sharks nei
ORZ,Nebrius ferrugineus,Tawny nurse shark
ORF,Hemiscyllium freycineti,Indonesia speckled carpetshark
ORK,Hemiscyllium hallstromi,Papuan epaulette shark
ORN,Hemiscyllium ocellatum,Epaulette shark
ORQ,Hemiscyllium strahani,Hooded carpetshark
ORW,Hemiscyllium trispeculare,Speckled carpetshark
ORA,Chiloscyllium arabicum,Arabian carpetshark
ORP,Chiloscyllium caerulopunctatum,Bluespotted bambooshark
ORR,Chiloscyllium griseum,Grey bambooshark
ORI,Chiloscyllium indicum,Slender bambooshark
ORH,Chiloscyllium plagiosum,Whitespotted bambooshark
ORB,Chiloscyllium punctatum,Brownbanded bambooshark
OQX,Chiloscyllium spp,Bamboosharks nei
RHN,Rhincodon typus,Whale shark
OBW,Brachaelurus waddi,Blind shark
OBH,Heteroscyllium colcloughi,Bluegray carpetshark
OPC,Cirrhoscyllium expolitum,Barbelthroat carpetshark
OPF,Cirrhoscyllium formosanum,Taiwan saddled carpetshark
OPJ,Cirrhoscyllium japonicum,Saddle carpetshark
OPY,Parascyllium collare,Collared carpetshark
OPE,Parascyllium ferrugineum,Rusty carpetshark
OPV,Parascyllium variolatum,Necklace carpetshark
OCX,Orectolobiformes,Carpet sharks
GAA,Galeus arae,Roughtail catshark
GAB,Galeus boardmani,Australian sawtail catshark
GAE,Galeus eastmani,Gecko catshark
SHO,Galeus melastomus,Blackmouth catshark
GAO,Galeus longirostris,
GAM,Galeus murinus,Mouse catshark
GAN,Galeus nipponensis,Broadfin sawtail catshark
GAP,Galeus piperatus,Peppered catshark
GAQ,Galeus polli,African sawtail catshark
GAI,Galeus sauteri,Blacktip sawtail catshark
GAH,Galeus schultzi,Dwarf sawtail catshark
GAU,Galeus spp,Crest-tail catsharks nei
SYC,Scyliorhinus canicula,Small-spotted catshark
SYT,Scyliorhinus stellaris,Nursehound
SYB,Scyliorhinus besnardi,Polkadot catshark
SYA,Scyliorhinus boa,Boa catshark
SYP,Scyliorhinus capensis,Yellowspotted catshark
SYE,Scyliorhinus cervigoni,West African catshark
SYG,Scyliorhinus garmani,Brownspotted catshark
SYH,Scyliorhinus haeckelii,Freckled catshark
SYU,Scyliorhinus hesperius,Whitesaddled catshark
SYM,Scyliorhinus meadi,Blotched catshark
SYF,Scyliorhinus retifer,Chain catshark
SYK,Scyliorhinus tokubee,
SYZ,Scyliorhinus torazame,Cloudy catshark
SYI,Scyliorhinus torrei,Dwarf catshark
SCL,Scyliorhinus spp,"Catsharks, nursehounds nei"
SHV,Schroederichthys bivius,Narrowmouthed catshark
SHY,Schroederichthys chilensis,Redspotted catshark
SHU,Schroederichthys maculatus,Narrowtail catshark
SHN,Schroederichthys tenuis,Slender catshark
ASY,Asymbolus analis,Australian spotted catshark
ASV,Asymbolus vincenti,Gulf catshark
AXM,Asymbolus spp,
ATM,Atelomycterus macleayi,Australian marbled catshark
ATY,Atelomycterus marmoratus,Coral catshark
HPE,Haploblepharus edwardsii,Puffadder shyshark
HPF,Haploblepharus fuscus,Brown shyshark
HPP,Haploblepharus pictus,Dark shyshark
HOP,Holohalaelurus punctatus,African spotted catshark
HOR,Holohalaelurus regani,Izak catshark
PAH,Parmaturus campechiensis,Campeche catshark
PAE,Parmaturus macmillani,McMillan's cat shark
PAV,Parmaturus melanobranchius,Blackgill catshark
PAW,Parmaturus pilosus,Salamander shark
PAY,Parmaturus xaniurus,Filetail catshark
CSA,Apristurus acanutus,
CSU,Apristurus atlanticus,Atlantic ghost catshark
CSN,Apristurus brunneus,Brown catshark
CSQ,Apristurus canutus,Hoary catshark
CSG,Apristurus gibbosus,
CSW,Apristurus herklotsi,Longfin catshark
APD,Apristurus indicus,Smallbelly catshark
APV,Apristurus investigatoris,Broadnose catshark
CSJ,Apristurus japonicus,Japanese catshark
CSZ,Apristurus kampae,Longnose catshark
APQ,Apristurus laurussonii,Iceland catshark
CSF,Apristurus longicephalus,Longhead catshark
CSX,Apristurus macrorhynchus,Flathead catshark
APM,Apristurus macrostomus,
APF,Apristurus maderensis,Madeira catshark
APA,Apristurus manis,Ghost catshark
APX,Apristurus microps,Smalleye catshark
APY,Apristurus micropterygeus,
APW,Apristurus nasutus,Largenose catshark
APK,Apristurus parvipinnis,Smallfin catshark
APZ,Apristurus platyrhynchus,Spatulasnout catshark
APP,Apristurus profundorum,Deep-water catshark
CSV,Apristurus riveri,Broadgill catshark
APC,Apristurus saldanha,Saldanha catshark
APJ,Apristurus sibogae,Pale catshark
ASI,Apristurus sinensis,South China catshark
ASO,Apristurus spongiceps,Spongehead catshark
ASE,Apristurus stenseni,Panama ghost catshark
ASW,Apristurus verweyi,Borneo catshark
API,Apristurus spp,Deep-water catsharks
AUK,Aulohalaelurus kanakorum,Kanakorum catshark
AUL,Aulohalaelurus labiosus,Australian Blackspot catshark
HAA,Halaelurus alcocki,Arabian catshark
HAB,Halaelurus boesemani,Speckled catshark
HAE,Halaelurus buergeri,Blackspotted catshark
HAN,Halaelurus canescens,Dusky catshark
HAO,Halaelurus dawsoni,New Zealand catshark
HAH,Halaelurus hispidus,Bristly catshark
HAV,Halaelurus immaculatus,Spotless catshark
HAY,Halaelurus lineatus,Lined catshark
HAG,Halaelurus lutarius,Mud catshark
HAK,Halaelurus natalensis,Tiger catshark
HAQ,Halaelurus quagga,Quagga catshark
PEU,Pentanchus profundicolus,Onefin catshark
CPF,Cephaloscyllium fasciatum,Reticulated swellshark
CPS,Cephaloscyllium isabellum,Draughtsboard shark
CPT,Cephaloscyllium laticeps,Australian swellshark
CPN,Cephaloscyllium nascione,Whitefinned swellshark
CPA,Cephaloscyllium silasi,Indian swellshark
CPH,Cephaloscyllium sufflans,Balloon shark
CPB,Cephaloscyllium umbratile,Blotchy swell shark
CPV,Cephaloscyllium ventriosum,Swellshark
CPC,Cephalurus cephalus,Lollipop catshark
POU,Poroderma africanum,Striped catshark
POE,Poroderma marleyi,Barbeled catshark
POH,Poroderma pantherinum,Leopard catshark
SYX,Scyliorhinidae,"Catsharks, etc. nei"
BSH,Prionace glauca,Blue shark
CIO,Isogomphodon oxyrhynchus,Daggernose shark
LMT,Lamiopsis temmincki,Broadfin shark
CNX,Nasolamia velox,Whitenose shark
CCP,Carcharhinus plumbeus,Sandbar shark
CCY,Carcharhinus amblyrhynchoides,Graceful shark
CCL,Carcharhinus limbatus,Blacktip shark
BLR,Carcharhinus melanopterus,Blacktip reef shark
AML,Carcharhinus amblyrhynchos,Grey reef shark
CCF,Carcharhinus amboinensis,Pigeye shark
CCX,Carcharhinus borneensis,Borneo shark
CCN,Carcharhinus acronotus,Blacknose shark
CCC,Carcharhinus cautus,Nervous shark
OCS,Carcharhinus longimanus,Oceanic whitetip shark
CCR,Carcharhinus porosus,Smalltail shark
CCD,Carcharhinus dussumieri,Whitecheek shark
CCZ,Carcharhinus fitzroyensis,Creek whaler
DUS,Carcharhinus obscurus,Dusky shark
FAL,Carcharhinus falciformis,Silky shark
CCE,Carcharhinus leucas,Bull shark
ALS,Carcharhinus albimarginatus,Silvertip shark
BRO,Carcharhinus brachyurus,Copper shark
CCB,Carcharhinus brevipinna,Spinner shark
CCI,Carcharhinus sealei,Blackspot shark
CCS,Carcharhinus signatus,Night shark
CCM,Carcharhinus macloti,Hardnose shark
CCO,Carcharhinus isodon,Finetooth shark
CCA,Carcharhinus altimus,Bignose shark
CCG,Carcharhinus galapagensis,Galapagos shark
CCK,Carcharhinus hemiodon,Pondicherry shark
CCJ,Carcharhinus leiodon,
CCV,Carcharhinus perezi,Caribbean reef shark
CCQ,Carcharhinus sorrah,Spot-tail shark
CCU,Carcharhinus tilstoni,Australian blacktip shark
CCW,Carcharhinus wheeleri,Blacktail reef shark
CWZ,Carcharhinus spp,Carcharhinus sharks nei
TIG,Galeocerdo cuvier,Tiger shark
SLA,Scoliodon laticaudus,Spadenose shark
TRB,Triaenodon obesus,Whitetip reef shark
NGB,Negaprion brevirostris,Lemon shark
NGA,Negaprion acutidens,Sicklefin lemon shark
CLD,Loxodon macrorhinus,Sliteye shark
CGA,Glyphis gangeticus,Ganges shark
CGG,Glyphis glyphis,Speartooth shark
RHT,Rhizoprionodon terraenovae,Atlantic sharpnose shark
RHA,Rhizoprionodon acutus,Milk shark
RHL,Rhizoprionodon lalandii,Brazilian sharpnose shark
RHU,Rhizoprionodon longurio,Pacific sharpnose shark
RHX,Rhizoprionodon oligolinx,Grey sharpnose shark
RHR,Rhizoprionodon porosus,Caribbean sharpnose shark
RHY,Rhizoprionodon taylori,Australian sharpnose shark
RHZ,Rhizoprionodon spp,Sharpnose sharks nei
RSK,Carcharhinidae,Requiem sharks nei
EUB,Eusphyra blochii,Winghead shark
SPZ,Sphyrna zygaena,Smooth hammerhead
SSN,Sphyrna corona,Scalloped bonnethead
SPV,Sphyrna couardi,Whitefin hammerhead
SPL,Sphyrna lewini,Scalloped hammerhead
SPE,Sphyrna media,Scoophead
SPQ,Sphyrna tudes,Smalleye hammerhead
SPJ,Sphyrna tiburo,Bonnethead
SPK,Sphyrna mokarran,Great hammerhead
SPN,Sphyrna spp,Hammerhead sharks nei
SPY,Sphyrnidae,"Hammerhead sharks, etc. nei"
CTU,Mustelus antarcticus,Gummy shark
CTN,Mustelus californicus,Grey smooth-hound
CTI,Mustelus canis,Dusky smooth-hound
CTD,Mustelus dorsalis,Sharptooth smooth-hound
CTF,Mustelus fasciatus,Striped smooth-hound
CTE,Mustelus griseus,Spotless smooth-hound
CTK,Mustelus henlei,Brown smooth-hound
CTJ,Mustelus higmani,Smalleye smooth-hound
MTL,Mustelus lenticulatus,Spotted estuary smooth-hound
MUU,Mustelus lunulatus,Sicklefin smooth-hound
MTZ,Mustelus manazo,Starspotted smooth-hound
SDP,Mustelus schmitti,Narrownose smooth-hound
SMD,Mustelus mustelus,Smooth-hound
MTR,Mustelus norrisi,Narrowfin smooth-hound
SDS,Mustelus asterias,Starry smooth-hound
MTE,Mustelus mento,Speckled smooth-hound
MTM,Mustelus mosis,Arabian smooth-hound
MUP,Mustelus palumbes,Whitespotted smooth-hound
MPT,Mustelus punctulatus,Blackspotted smooth-hound
MUW,Mustelus whitneyi,Humpback smooth-hound
SDV,Mustelus spp,Smooth-hounds nei
GAG,Galeorhinus galeus,Tope shark
TTA,Triakis acutipinna,Sharpfin houndshark
LES,Triakis semifasciata,Leopard shark
TTM,Triakis maculata,Spotted houndshark
TTE,Triakis megalopterus,Sharptooth houndshark
TTY,Triakis scyllium,Banded houndshark
TIK,Iago garricki,Longnose houndshark
TIO,Iago omanensis,Bigeye houndshark
TGF,Gogolia filewoodi,Sailback houndshark
THH,Hypogaleus hyugaensis,Blacktipe tope
TFM,Furgaleus macki,Whiskery shark
THJ,Hemitriakis japanica,Japanese topeshark
THL,Hemitriakis leucoperiptera,Whitefin topeshark
TSK,Scylliogaleus quecketti,Flapnose houndshark
TRK,Triakidae,"Houndsharks,smoothhounds nei"
PTM,Pseudotriakis microdon,False catshark
HCM,Chaenogaleus macrostoma,Hooktooth shark
HEE,Hemipristis elongata,Snaggletooth shark
HEC,Paragaleus leucolomatus,Whitetip weasel shark
HEI,Paragaleus pectoralis,Atlantic weasel shark
HEN,Paragaleus tengi,Straight-tooth weasel shark
HEH,Hemigaleus microstoma,Sicklefin weasel shark
CLL,Leptocharias smithii,Barbeled houndshark
CPE,Ctenacis fehlmanni,Harlequin catshark
PEB,Eridacnis barbouri,Cuban ribbontail catshark
PEA,Eridacnis radcliffei,Pygmy ribbontail catshark
PED,Eridacnis sinuans,African ribbontail catshark
CPG,Gollum attenuatus,Slender smooth-hound
CPY,Proscyllium habereri,Graceful catshark
CVX,Carcharhiniformes,Ground sharks
GSK,Somniosus microcephalus,Greenland shark
SOR,Somniosus rostratus,Little sleeper shark
SON,Somniosus pacificus,Pacific sleeper shark
CHZ,Cirrhigaleus asper,Roughskin spurdog
CHF,Cirrhigaleus barbifer,Mandarin dogfish
EUZ,Euprotomicroides zantedeschia,Taillight shark
HYY,Heteroscymnoides marleyi,Longnose pygmy shark
QUB,Squalus blainvillei,Longnose spurdog
QUC,Squalus cubensis,Cuban dogfish
QUJ,Squalus japonicus,Japanese spurdog
DGS,Squalus acanthias,Picked dogfish
QUK,Squalus mitsukurii,Shortspine spurdog
QUR,Squalus rancureli,Cyrano spurdog
QUN,Squalus melanurus,Blacktailed spurdog
DOP,Squalus megalops,Shortnose spurdog
DGZ,Squalus spp,Dogfishes nei
GUP,Centrophorus granulosus,Gulper shark
CPU,Centrophorus uyato,Little gulper shark
GUQ,Centrophorus squamosus,Leafscale gulper shark
CPL,Centrophorus lusitanicus,Lowfin gulper shark
CEA,Centrophorus acus,Needle dogfish
CEU,Centrophorus harrissoni,Dumb gulper shark
CEM,Centrophorus moluccensis,Smallfin gulper shark
CEK,Centrophorus niaukang,Taiwan gulper shark
CEE,Centrophorus tessellatus,Mosaic gulper shark
CWO,Centrophorus spp,Gulper sharks nei
ETX,Etmopterus spinax,Velvet belly
ETB,Etmopterus bigelowi,
ETH,Etmopterus brachyurus,Shorttail lanternshark
ETU,Etmopterus bullisi,Lined lanternshark
ETR,Etmopterus princeps,Great lanternshark
ETP,Etmopterus pusillus,Smooth lanternshark
ETI,Etmopterus gracilispinis,Broadbanded lanternshark
ETM,Etmopterus granulosus,Southern lanternshark(Lucifer)
ETN,Etmopterus hillianus,Carribean lanternshark
ETF,Etmopterus lucifer,Blackbelly lanternshark
ETL,Etmopterus molleri,Mollers lantern shark
ETT,Etmopterus polli,African lanternshark
ETZ,Etmopterus schultzi,Fringfin lanternshark
ETQ,Etmopterus sentosus,Thorny lanternshark
ETK,Etmopterus splendidus,
ETJ,Etmopterus unicolor,Brown lanternshark
ETV,Etmopterus villosus,Hawaiian lanternshark
ETW,Etmopterus virens,Green lanternshark
ETE,Etmopterus compagnoi,
ETO,Etmopterus decacuspidatus,Combtoothed lanternshark
SHL,Etmopterus spp,Lanternsharks nei
ISB,Isistius brasiliensis,Cookie cutter shark
ISP,Isistius plutodus,Largetooth cookiecutter shark
EUP,Euprotomicrus bispinatus,Pygmy shark
DCA,Deania calcea,Birdbeak dogfish
SDH,Deania histricosa,Rough longnose dogfish
SDU,Deania profundorum,Arrowhead dogfish
SDQ,Deania quadrispinosa,Longsnout dogfish
DNA,Deania spp,Deania dogfishes nei
YSA,Scymnodalatias albicauda,Whitetail dogfish
YSS,Scymnodalatias sherwoodi,Sherwood dogfish
CYO,Centroscymnus coelolepis,Portuguese dogfish
CYP,Centroscymnus crepidater,Longnose velvet dogfish
CYY,Centroscymnus cryptacanthus,Shortnose velvet dogfish
CYW,Centroscymnus owstoni,Roughskin dogfish
CYU,Centroscymnus plunketi,Plunket shark
CZI,Centroscymnus spp,
SYO,Scymnodon obscurus,Smallmouth knifetooth dogfish
SYR,Scymnodon ringens,Knifetooth dogfish
YSM,Scymnodon macracanthus,Largespine velvet dogfish
SSQ,Scymnodon squamulosus,Velvet dogfish
SCK,Dalatias licha,Kitefin shark
CFB,Centroscyllium fabricii,Black dogfish
CYG,Centroscyllium granulatum,Granular dogfish
CYK,Centroscyllium kamoharai,Bareskin dogfish
CYN,Centroscyllium nigrum,Combtooth dogfish
CYT,Centroscyllium ornatum,Ornate dogfish
CYR,Centroscyllium ritteri,Whitefin dogfish
ACN,Aculeola nigra,Hooktooth dogfish
QUA,Squaliolus aliae,Smalleye pygmy shark
QUL,Squaliolus laticaudus,Spined pygmy shark
DGX,Squalidae,Dogfish sharks nei
DGH,"Squalidae, Scyliorhinidae",Dogfishes and hounds nei
PPC,Pristiophorus cirratus,Longnose sawshark
PPJ,Pristiophorus japonicus,Japanese sawshark
PPU,Pristiophorus nudipinnis,Shortnose sawshark
PPH,Pristiophorus schroederi,Bahamas sawshark
PPW,Pliotrema warreni,Sixgill sawshark
PWS,Pristiophorus spp,Sawsharks nei
AGN,Squatina squatina,Angelshark
SUA,Squatina aculeata,Sawback angelshark
SUF,Squatina africana,African angelshark
SUG,Squatina argentina,Argentine angelshark
SUU,Squatina australis,Australian angelshark
SUC,Squatina californica,Pacific angelshark
SUD,Squatina dumeril,Sand devil
SUO,Squatina formosa,Taiwan angleshark
SUJ,Squatina japonica,Japanese angelshark
SUL,Squatina nebulosa,Clouded angelshark
SUT,Squatina oculata,Smoothback angelshark
SUE,Squatina tergocellata,Ornate angelshark
SUN,Squatina tergocellatoides,Ocellated angelshark
ASK,Squatinidae,"Angelsharks, sand devils nei"
OXY,Oxynotus centrina,Angular roughshark
OXN,Oxynotus paradoxus,Sailfin roughshark
OXB,Oxynotus bruniensis,Prickly dogfish
OXC,Oxynotus caribbaeus,Caribbean roughshark
SHB,Echinorhinus brucus,Bramble shark
ECK,Echinorhinus cookei,Prickly shark
SHX,Squaliformes,"Dogfish sharks, etc. nei"
RRA,Aptychotrema bougainvillii,Short-snouted shovelnose ray
RAR,Aptychotrema rostrata,Eastern shovelnose ray
RAV,Aptychotrema vincentiana,Western shovelnose ray
RPS,Platyrhina sinensis,
RPT,Platyrhinoidis triseriata,Thornback guitarfish
RCA,Rhynchobatus australiae,Whitespotted wedgefish
RCD,Rhynchobatus djiddensis,Giant guitarfish
RCL,Rhynchobatus luebberti,African wedgefish
RHD,Rhinobatos annandalei,Annandale's guitarfish
RBA,Rhinobatos annulatus,
RBB,Rhinobatos batillum,
RHH,Rhinobatos blochii,Bluntnose guitarfish
RBE,Rhinobatos brevirostris,Lesser guitarfish
RBC,Rhinobatos cemiculus,Blackchin guitarfish
RHF,Rhinobatos formosensis,
GUD,Rhinobatos percellens,Chola guitarfish
GUF,Rhinobatos planiceps,Pacific guitarfish
RBH,Rhinobatos halavi,Halavi ray
RBO,Rhinobatos holcorhynchus,Slender guitarfish
RBN,Rhinobatos hynnicephalus,
RBI,Rhinobatos irvinei,
GUB,Rhinobatos albomaculatus,Whitespotted guitarfish
RBU,Rhinobatos leucorhynchus,Whitesnout guitarfish
RBS,Rhinobatos leucospilus,Grayspottted guitarfish
RBD,Rhinobatos lionotus,
RBM,Rhinobatos obtusus,
RBL,Rhinobatos glaucostigma,Speckled guitarfish
RHO,Rhinobatos ocellatus,
RBP,Rhinobatos productus,Shovelnose guitarfish
RBF,Rhinobatos punctifer,
RBX,Rhinobatos rhinobatos,Common guitarfish
RBW,Rhinobatos salalah,
RBZ,Rhinobatos schlegelii,Brown guitarfish
RBV,Rhinobatos thouin,Thouin ray
RBQ,Rhinobatos typus,Giant shovelnose ray
RBK,Rhinobatos horkelii,Brazilian guitarfish
RBR,Rhinobatos granulatus,Granulated guitarfish
RBT,Rhinobatos lentiginosus,Atlantic guitarfish
GUZ,Rhinobatos spp,Guitarfishes nei
RZS,Zanobatus schoenleinii,
RZE,Zapteryx exasperata,Banded guitarfish
RRY,Rhina ancylostoma,Bowmouth guitarfish
RTF,Trygonorrhina fasciata,Southern fiddler
RTG,Trygonorrhina guaneria,
RTM,Trygonorrhina melaleuca,Magpie fiddler ray
GTF,Rhinobatidae,"Guitarfishes, etc. nei"
RPA,Anoxypristis cuspidata,Pointed sawfish
RPC,Pristis clavata,Dwarf sawfish
RPM,Pristis microdon,Largetooth sawfish
RPP,Pristis pectinata,Smalltooth sawfish
RPR,Pristis pristis,Common sawfish
RPZ,Pristis zijsron,Longcomb sawfish
SAW,Pristidae,Sawfishes
RJB,Raja batis,Blue skate
RJC,Raja clavata,Thornback ray
RJR,Raja radiata,Starry ray
RJM,Raja montagui,Spotted ray
RJH,Raja brachyura,Blonde ray
RJI,Raja circularis,Sandy ray
RJF,Raja fullonica,Shagreen ray
JAK,Raja wallacei,Yellowspotted skate
RJE,Raja microocellata,Small-eyed ray
RJN,Raja naevus,Cuckoo ray
RJO,Raja oxyrinchus,Longnosed skate
RJU,Raja undulata,Undulate ray
RFS,Raja springeri,Roughbelly skate
RFT,Raja stellulata,Starry skate
RFY,Raja stenorhynchus,Prow-nose skate
RFL,Raja straeleni,Spotted skate
RFA,Raja taaf,
JAB,Raja teevani,Prickly brown ray
JAE,Raja tengu,
JAF,Raja texana,Roundel skate
RJS,Raja senta,Smooth skate
JAZ,Raja whitleyi,Wedgenose skate
JAG,Raja velezi,Velez ray
RJA,Raja alba,White skate
JAH,Raja rhina,Longnose skate
JFB,Raja robertsi,Bigmouth skate
RFO,Raja rondeleti,Rondelet's ray
RFX,Raja rouxi,
JFC,Raja schmidti,
RJY,Raja fyllae,Round ray
SRR,Raja georgiana,Antarctic starry skate
JRK,Raja ackleyi,Ocellate skate
JRA,Raja acutispina,
JRF,Raja africana,African ray
JRN,Raja annandalei,
JRS,Raja asterias,Mediterranean starry ray
JRU,Raja australis,Sydney skate
JRB,Raja badia,Broad skate
JRH,Raja bathyphila,Deep-water ray
JRW,Raja bigelowi,Bigelow's ray
JRI,Raja binoculata,Big skate
JRO,Raja boesemani,
JRL,Raja bullisi,Bullis skate
JRM,Raja campbelli,Blackspot skate
JRT,Raja castelnaui,
JRD,Raja caudaspinosa,Munchskin skate
JRV,Raja cerva,White-spotted skate
JRG,Raja cervigoni,Finspot ray
JRR,Raja clarkii,
JRJ,Raja compagnoi,
JRE,Raja confundens,Bigthorn skate
JRZ,Raja cortezensis,Cortez' ray
JRY,Raja cyclophora,
JRX,Raja dageti,
JRQ,Raja dissimilis,Ghost skate
JFD,Raja doutrei,Violet skate
JFE,Raja eglanteria,Clearnose skate
JFQ,Raja equatorialis,Ecuatorial ray
RJD,Raja erinacea,Little skate
JFF,Raja fuliginea,
JFG,Raja garmani,Freckled skate
JFI,Raja gigas,
JFU,Raja gudgeri,Greenback skate
JFH,Raja heemstrai,
JFW,Raja herwigi,
JFO,Raja hollandi,
RJG,Raja hyperborea,Arctic skate
JFN,Raja innominata,
JFR,Raja inornata,California ray
RJJ,Raja jenseni,Shorttail skate
JFJ,Raja johannisdavisi,
JFK,Raja kenojei,
JFT,Raja kreffti,Krefft's ray
RJL,Raja laevis,Barndoor skate
JFA,Raja lanceorostrata,Rattail skate
JFM,Raja lemprieri,Thornback skate
JFS,Raja lentiginosa,
JFV,Raja leopardus,Leopard skate
JFX,Raja leucosticta,
RJK,Raja lintea,Sailray
JRC,Raja macrocauda,
JFY,Raja maderensis,Madeiran ray
JFZ,Raja meerdervoortii,
JAM,Raja melitensis,Maltese ray
JAI,Raja miraletus,Brown ray
JAT,Raja nasuta,Rough skate
JAD,Raja nidarosiensis,Norwegian skate
RJT,Raja ocellata,Winter skate
JAO,Raja olseni,Spreadfin skate
JRP,Raja pita,
JFP,Raja polyommata,Argus skate
JAY,Raja polystigma,Speckled ray
JAW,Raja powelli,
JAU,Raja pulchra,
JAL,Raja pullopunctata,Slime skate
JAV,Raja purpuriventralis,
JAR,Raja radula,Rough ray
RFV,Raja ravidula,Smoothback skate
SKA,Raja spp,Raja rays nei
BEA,Bathyraja eatonii,Eaton's skate
BAM,Bathyraja maccaini,McCain's skate
BMU,Bathyraja murrayi,Murray's skate
BYC,Bathyraja caeluronigricans,
BYD,Bathyraja diplotaenia,
BYY,Bathyraja abyssicola,Deep-sea skate
BYA,Bathyraja aleutica,Aleutian skate
BYV,Bathyraja andriashevi,
BYG,Bathyraja griseocauda,
BYH,Bathyraja hesperafricana,
BYI,Bathyraja interrupta,Sandpaper skate
BYR,Bathyraja irrasa,Kerguelen sandpaper skate
BYT,Bathyraja isotrachys,
BYL,Bathyraja lindbergi,Commander skate
BYM,Bathyraja matsubarai,
BYE,Bathyraja meridionalis,Dark-belly skate
BYN,Bathyraja minispinosa,
BYO,Bathyraja notoroensis,
BYP,Bathyraja pallida,Pale ray
BYF,Bathyraja parmifera,Alaska skate
BYQ,Bathyraja richardsoni,Richardson's ray
BYJ,Bathyraja rosispinis,Flathead skate
BYU,Bathyraja shuntovi,Longnose deep-sea skate
BYK,Bathyraja simoterus,
BYX,Bathyraja smirnovi,
BYZ,Bathyraja smithii,
RJQ,Bathyraja spinicauda,Spinetail ray
BJS,Bathyraja spinosissima,Spiny skate
BJT,Bathyraja trachouros,
BJR,Bathyraja trachura,Roughtail skate
BJZ,Bathyraja tzinovskii,
BJV,Bathyraja violacea,Okhotsk skate
BHY,Bathyraja spp,Bathyraja rays nei
RAY,Arhynchobatis asperrimus,Longtail skate
CJA,Cruriraja atlantis,Cuban legskate
CJD,Cruriraja durbanensis,Smoothnose legskate
CJP,Cruriraja parcomaculata,Roughnose legskate
CJY,Cruriraja poeyi,
CJT,Cruriraja triangularis,Triangular legskate
RGA,Gurgesiella atlantica,
RGS,Gurgesiella sibogae,
RIW,Irolita waitii,Southern round skate
RJP,Malacoraja spinacidermis,Soft skate
RNA,Neoraja africana,
RNS,Neoraja stehmanni,African pygmy skate
RNO,Notoraja ochroderma,
RNU,Notoraja subtilispinosa,
RNT,Notoraja tobitukai,
PJA,Pavoraja alleni,Allens skate
PJS,Pavoraja asperula,Smooth deep-sea skate
PJX,Pavoraja laxipella,
PJN,Pavoraja nitida,Peacock skate
